First,Run_Time,Third,Fourth,Fifth
7.2619,216.49,440,0.49202,0.0054307
7.4824,226.87,462,0.49106,0.00542
6.6894,194.99,398,0.48992,0.0054075
8.1498,251.63,512,0.49146,0.0054245
9.1154,285.69,580,0.49257,0.0054367
7.4047,223.26,454,0.49176,0.0054278
6.8841,209.16,426,0.49099,0.0054192
6.489,190.32,388,0.49052,0.005414
6.6473,194.43,396,0.49098,0.0054192
7.7473,243.33,496,0.49058,0.0054148
7.57,220.38,448,0.49192,0.0054295
7.2304,216.26,438,0.49374,0.0054497
7.047,206.96,418,0.49512,0.0054648
8.7061,258.8,526,0.49202,0.0054306
7.4617,223.82,456,0.49083,0.0054175
6.8168,197.89,400,0.49472,0.0054605
8.061,252.56,510,0.49522,0.0054659
6.8335,195.78,398,0.49191,0.0054294
6.6587,192.2,388,0.49536,0.0054675
7.2449,206.76,420,0.49229,0.0054336
8.3259,249.16,506,0.49241,0.0054349
9.0616,282.05,572,0.49309,0.0054425
8.5911,260.9,526,0.49601,0.0054746
8.3583,252.28,512,0.49273,0.0054385
7.2323,216.27,440,0.49152,0.0054251
7.2747,220.14,448,0.49138,0.0054236
7.1954,209.25,426,0.4912,0.0054215
7.2336,210.03,424,0.49535,0.0054674
7.3577,224.6,458,0.49039,0.0054127
8.9088,280.97,564,0.49817,0.0054985
9.0043,282.53,570,0.49567,0.0054709
7.1854,204.33,416,0.49118,0.0054213
6.6202,189.04,386,0.48974,0.0054055
6.993,205.96,418,0.49273,0.0054384
5.0602,146.63,296,0.49537,0.0054676
7.8047,234.56,476,0.49277,0.0054389
8.3848,252.88,510,0.49584,0.0054728
7.8786,237.7,482,0.49315,0.0054431
7.3445,213.31,434,0.4915,0.0054249
7.2342,217.98,440,0.49541,0.005468
7.2553,207.39,420,0.49379,0.0054501
8.5489,261.91,532,0.49231,0.0054338
7.6961,228.19,464,0.49179,0.0054281
7.7104,234.16,476,0.49193,0.0054297
8.9076,274.43,558,0.49181,0.0054283
8.6766,258.05,524,0.49246,0.0054355
8.2283,241.26,488,0.49439,0.0054567
7.3396,214.71,436,0.49245,0.0054354
6.3083,177.99,362,0.49169,0.0054269
8.3848,245.9,494,0.49777,0.0054941
7.3712,216.12,440,0.49118,0.0054214
8.167,251.61,510,0.49335,0.0054453
7.1081,209.6,422,0.49668,0.0054821
6.4885,195.71,398,0.49173,0.0054275
7.2175,219.26,438,0.50059,0.0055253
7.3551,218.32,444,0.49171,0.0054272
7.8872,234.61,472,0.49706,0.0054862
7.8274,243.56,496,0.49105,0.0054199
7.141,213.5,434,0.49194,0.0054297
7.6048,221.91,452,0.49095,0.0054188
6.9894,200.83,408,0.49223,0.0054329
7.4715,224.84,458,0.49092,0.0054185
7.8647,228.38,464,0.4922,0.0054326
7.0209,214.79,434,0.49491,0.0054625
7.9603,252.22,508,0.4965,0.00548
7.5178,222,452,0.49115,0.005421
6.2672,191.07,386,0.495,0.0054635
7.4276,225.63,458,0.49264,0.0054375
8.1118,247.43,504,0.49093,0.0054186
8.2852,252.94,514,0.4921,0.0054315
10.493,407.1,818,0.49768,0.0054931
9.7173,360.12,722,0.49878,0.0055053
10.444,388.72,776,0.50093,0.0055289
10.357,385.93,776,0.49733,0.0054893
10.437,434.81,870,0.49978,0.0055163
10.526,391.95,782,0.50121,0.0055321
10.524,385.3,770,0.50039,0.005523
10.574,438.84,874,0.50211,0.0055419
10.279,395.22,784,0.50411,0.005564
9.5196,345.41,698,0.49486,0.0054619
10.257,373.02,752,0.49604,0.005475
10.845,399.14,802,0.49768,0.0054931
10.568,387.97,776,0.49996,0.0055183
10.216,384.73,774,0.49707,0.0054863
10.364,418.33,840,0.49801,0.0054968
9.3136,353.08,712,0.4959,0.0054734
10.251,369.51,746,0.49532,0.0054671
10.261,377.55,762,0.49547,0.0054687
10.523,386.14,780,0.49505,0.0054641
10.461,398.8,804,0.49602,0.0054748
10.896,444.57,886,0.50177,0.0055383
10.641,387.39,782,0.49538,0.0054678
10.646,388.9,776,0.50116,0.0055315
9.5876,387.63,780,0.49696,0.0054852
10.088,381.4,770,0.49532,0.0054671
9.8982,383.74,772,0.49707,0.0054864
10.333,392.02,782,0.5013,0.0055331
10.525,403.72,814,0.49597,0.0054742
9.6352,345.67,692,0.49952,0.0055134
9.4906,394.08,792,0.49758,0.0054919
10.007,405.06,816,0.4964,0.0054789
10.524,390.95,788,0.49613,0.005476
9.9642,398.76,802,0.49721,0.0054879
10.618,389.2,786,0.49517,0.0054653
9.6988,358.9,722,0.49709,0.0054866
9.775,355.3,718,0.49485,0.0054618
9.8168,356.81,722,0.4942,0.0054546
10.143,378.33,758,0.49912,0.0055089
9.7031,352.08,706,0.4987,0.0055043
9.945,378.98,764,0.49605,0.0054751
10.189,385.92,778,0.49604,0.005475
10.752,402.28,804,0.50035,0.0055225
10.729,387.43,776,0.49927,0.0055106
10.023,385.44,778,0.49542,0.0054682
9.9,367.6,736,0.49946,0.0055127
9.9217,424.77,854,0.49739,0.0054899
9.442,356.86,714,0.4998,0.0055165
10.525,398.29,802,0.49662,0.0054814
9.7057,430.67,866,0.49731,0.005489
10.555,401.61,804,0.49951,0.0055133
10.127,366.76,742,0.49429,0.0054556
10.127,380.02,768,0.49482,0.0054615
9.8638,363.02,728,0.49865,0.0055038
11.031,414.77,838,0.49495,0.005463
10.211,394.04,790,0.49878,0.0055053
10.551,384.34,778,0.49401,0.0054526
9.7971,357.86,726,0.49292,0.0054406
10.561,399.87,802,0.49859,0.0055032
